epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5756,1.31332,1.53338,1.3707,0.36475,0.41137,0.40805,0.29423,0.99763,0.76529,1.14057,0.00324074,0.00324074,0.00324074
2,38.9242,1.19228,1.16783,1.29332,0.88921,0.4089,0.47228,0.32914,0.98879,0.71412,1.11204,0.00657407,0.00657407,0.00657407
3,52.1326,1.16229,1.14984,1.27225,0.87955,0.41737,0.43894,0.32132,0.93663,0.72008,1.0862,0.0099074,0.0099074,0.0099074
4,65.9887,1.13892,1.08745,1.25576,0.90295,0.39831,0.4557,0.3385,0.92733,0.65346,1.07275,0.00999999,0.00999999,0.00999999
5,80.1353,1.12014,1.10394,1.24414,0.89849,0.39921,0.4491,0.33071,0.96269,0.6589,1.07498,0.00999998,0.00999998,0.00999998
6,94.1548,1.08073,1.07944,1.21733,0.87836,0.41516,0.45691,0.34719,0.85475,0.6315,1.00287,0.00999998,0.00999998,0.00999998
7,108.325,1.12827,1.09938,1.23935,0.89398,0.40042,0.45282,0.34013,0.88625,0.65466,1.02862,0.00999996,0.00999996,0.00999996
8,122.164,1.11808,1.07073,1.244,0.91455,0.40466,0.46383,0.34612,0.89854,0.63508,1.04249,0.00999995,0.00999995,0.00999995
9,136.347,1.0872,1.09706,1.23136,0.89925,0.41137,0.45255,0.3411,0.87891,0.61499,1.03848,0.00999994,0.00999994,0.00999994
10,150.336,1.08198,1.04809,1.21369,0.90269,0.42083,0.45249,0.34355,0.89574,0.62829,1.0355,0.00999992,0.00999992,0.00999992
11,164.399,1.06093,1.02605,1.20779,0.89335,0.41102,0.44281,0.33852,0.88681,0.65101,1.00872,0.0099999,0.0099999,0.0099999
12,178.278,1.09972,1.06791,1.22427,0.89038,0.41737,0.49359,0.36175,0.88332,0.65224,1.01154,0.00999988,0.00999988,0.00999988
13,191.867,1.11322,1.07937,1.22996,0.90569,0.39831,0.45062,0.33943,0.88962,0.64271,1.01977,0.00999986,0.00999986,0.00999986
14,204.909,1.08243,1.05885,1.22013,0.87257,0.42742,0.48072,0.35962,0.87065,0.64624,1.00369,0.00999983,0.00999983,0.00999983
15,218.468,1.08628,1.06636,1.21562,0.87886,0.43008,0.6904,0.47435,0.92127,0.65868,1.06366,0.00999981,0.00999981,0.00999981
16,231.292,1.09643,1.04759,1.2279,0.8749,0.44915,0.60971,0.43272,0.95058,0.64834,1.06808,0.00999978,0.00999978,0.00999978
17,244.366,1.05973,1.0389,1.21051,0.88314,0.42797,0.46387,0.35088,0.91072,0.64022,1.04639,0.00999975,0.00999975,0.00999975
18,257.669,1.06707,1.03685,1.21948,0.87331,0.42373,0.46342,0.3449,0.92779,0.65466,1.05815,0.00999972,0.00999972,0.00999972
19,270.81,1.06618,1.02276,1.21898,0.89107,0.41314,0.51453,0.3848,0.84897,0.65515,0.98948,0.00999968,0.00999968,0.00999968
20,284.265,1.07409,1.06144,1.21786,0.91987,0.40042,0.61466,0.45384,0.89288,0.62937,1.00612,0.00999965,0.00999965,0.00999965
21,297.531,1.05409,1.04909,1.2097,0.92304,0.39596,0.48013,0.35862,0.88306,0.63065,1.0138,0.00999961,0.00999961,0.00999961
22,310.753,1.05519,1.00941,1.20805,0.89325,0.42144,0.44829,0.33955,0.9023,0.63693,1.0245,0.00999957,0.00999957,0.00999957
23,323.984,1.04605,1.03285,1.19185,0.87741,0.44353,0.46531,0.34962,0.89053,0.64274,1.03378,0.00999953,0.00999953,0.00999953
24,337.056,1.05497,1.013,1.19875,0.90308,0.42161,0.61336,0.44219,0.87192,0.61158,1.01087,0.00999948,0.00999948,0.00999948
25,349.829,1.02191,1.00373,1.18692,0.90343,0.416,0.54814,0.4,0.93544,0.62024,1.07148,0.00999944,0.00999944,0.00999944
26,363.14,1.0296,1.00993,1.18147,0.88225,0.44015,0.49739,0.36919,0.90909,0.62607,1.07008,0.00999939,0.00999939,0.00999939
27,376.171,1.03195,0.98285,1.17219,0.89116,0.42373,0.94126,0.68463,0.87115,0.63159,1.03234,0.00999934,0.00999934,0.00999934
28,389.447,1.04047,0.96033,1.18315,0.89399,0.42373,0.51604,0.38925,0.89425,0.6267,1.02921,0.00999929,0.00999929,0.00999929
29,402.88,1.04344,1.02162,1.19345,0.92124,0.39658,0.45175,0.33512,0.89332,0.65317,1.02106,0.00999923,0.00999923,0.00999923
30,416.438,1.05683,1.00897,1.18249,0.91151,0.41314,0.47137,0.35548,0.88477,0.65971,1.01131,0.00999918,0.00999918,0.00999918
31,429.175,1.05084,1.01039,1.18989,0.85425,0.43644,0.44582,0.3373,0.87424,0.66657,1.02141,0.00999912,0.00999912,0.00999912
32,442.414,1.03142,0.99225,1.17825,0.91001,0.39619,0.45894,0.3386,0.89709,0.6274,1.05109,0.00999906,0.00999906,0.00999906
33,455.632,1.02813,0.98626,1.18033,0.90444,0.40351,0.94328,0.67486,0.91042,0.67254,1.04239,0.009999,0.009999,0.009999
34,468.93,1.03072,0.9999,1.18244,0.87383,0.44068,0.46145,0.34263,0.87196,0.63744,1.01748,0.00999894,0.00999894,0.00999894
35,481.954,1.01352,0.97102,1.18168,0.88363,0.42585,0.45249,0.34437,0.84277,0.61443,0.99479,0.00999887,0.00999887,0.00999887
36,495.031,1.01866,0.99416,1.18437,0.92251,0.4089,0.51829,0.38488,0.90453,0.63817,1.04996,0.0099988,0.0099988,0.0099988
37,508.406,1.03175,0.9946,1.18074,0.91384,0.39407,0.45952,0.34712,0.89256,0.64459,1.03473,0.00999873,0.00999873,0.00999873
38,521.462,1.0435,0.98761,1.18498,0.91323,0.40361,0.45903,0.34248,0.85506,0.63603,1.00735,0.00999866,0.00999866,0.00999866
