epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0232,0.90434,5.2567,1.36129,0.37298,0.38347,0.38752,0.27539,0.59151,2.2373,0.99884,0.00241379,0.00241379,0.00241379
2,72.4306,0.81671,3.80021,1.27056,0.36875,0.42859,0.40969,0.29588,0.5742,1.99527,0.98277,0.00487069,0.00487069,0.00487069
3,96.6315,0.73037,3.64931,1.17594,0.89115,0.41102,0.42474,0.30013,0.57004,1.994,0.97958,0.00732758,0.00732758,0.00732758
4,120.548,0.74782,3.61975,1.16656,0.87276,0.37862,0.41736,0.30395,0.58332,2.41307,0.99239,0.00978447,0.00978447,0.00978447
5,144.424,0.73142,3.51518,1.14557,0.89168,0.39069,0.41206,0.29761,0.56467,2.18964,0.96878,0.00999998,0.00999998,0.00999998
6,168.347,0.69796,3.42467,1.12163,0.90092,0.37288,0.44635,0.3313,0.55777,2.05621,0.96052,0.00999998,0.00999998,0.00999998
7,192.413,0.6992,3.2791,1.11424,0.86129,0.39831,0.41369,0.27784,0.59305,2.25209,1.02878,0.00999996,0.00999996,0.00999996
8,216.238,0.69309,3.30889,1.11039,0.89276,0.39574,0.42913,0.3154,0.53468,1.99151,0.95072,0.00999995,0.00999995,0.00999995
9,240.058,0.70142,3.28262,1.1184,0.85594,0.42585,0.41853,0.31103,0.53494,2.0707,0.93764,0.00999994,0.00999994,0.00999994
10,263.986,0.6804,3.26847,1.09743,0.88743,0.4089,0.45979,0.34516,0.56151,2.23468,0.9711,0.00999992,0.00999992,0.00999992
11,287.866,0.67021,3.16307,1.08779,0.87581,0.44237,0.43702,0.3226,0.54482,2.11201,0.95968,0.0099999,0.0099999,0.0099999
12,311.599,0.69621,3.18765,1.10854,0.88216,0.39195,0.41662,0.30374,0.55973,2.02142,0.96389,0.00999988,0.00999988,0.00999988
13,335.775,0.66872,3.16143,1.09045,0.88436,0.39434,0.42979,0.31276,0.54025,1.86362,0.94969,0.00999986,0.00999986,0.00999986
14,359.748,0.65687,3.10162,1.08947,0.88802,0.39407,0.44672,0.33979,0.53888,1.91845,0.94306,0.00999983,0.00999983,0.00999983
15,398.068,0.66679,3.10764,1.09063,0.87871,0.38368,0.41656,0.31182,0.53453,2.24201,0.94982,0.00999981,0.00999981,0.00999981
16,421.446,0.65384,2.97245,1.06679,0.87809,0.42797,0.42425,0.31391,0.52011,1.89941,0.92273,0.00999978,0.00999978,0.00999978
17,445.151,0.64384,3.04801,1.06122,0.87521,0.41407,0.44956,0.33223,0.54898,2.19269,0.93293,0.00999975,0.00999975,0.00999975
18,469.022,0.64336,3.03862,1.06848,0.86093,0.35381,0.3973,0.29036,0.54925,2.92194,0.9668,0.00999972,0.00999972,0.00999972
19,494.665,0.64853,3.0113,1.07118,0.88783,0.40254,0.4797,0.3659,0.53692,2.06817,0.93674,0.00999968,0.00999968,0.00999968
20,528.345,0.6406,2.97686,1.05708,0.89097,0.41025,0.42857,0.32151,0.53028,1.86623,0.93044,0.00999965,0.00999965,0.00999965
