epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9926,1.61495,5.10893,1.80336,0.00207,0.98571,0.37824,0.16468,1.49543,6.88318,1.97665,0.000541775,0.000541775,0.000541775
2,69.6243,1.7488,4.3152,1.80926,0.41128,0.43915,0.36449,0.13723,2.28417,8.29481,3.06927,0.00104312,0.00104312,0.00104312
3,92.9967,1.62596,3.17352,1.70177,0.10346,0.18571,0.06611,0.02077,2.80989,48.1683,3.33594,0.00148945,0.00148945,0.00148945
4,114.851,1.82045,2.92287,1.86175,0.10552,0.38571,0.15635,0.04677,2.10637,102.963,2.47469,0.00141945,0.00141945,0.00141945
5,136.718,1.75338,2.44493,1.80599,0.48613,0.64286,0.53377,0.22801,1.72121,15.187,2.02343,0.00133693,0.00133693,0.00133693
6,158.732,1.75369,2.26428,1.74343,0.65392,0.6,0.58013,0.26672,1.55194,4.6688,1.79288,0.00125442,0.00125442,0.00125442
7,180.561,1.63971,1.95235,1.68718,0.75208,0.52012,0.64584,0.2905,1.80858,2.69474,1.95245,0.0011719,0.0011719,0.0011719
8,202.817,1.62123,1.99097,1.71071,0.68155,0.64207,0.61093,0.3293,1.73231,1.68614,1.95975,0.00108938,0.00108938,0.00108938
9,225.598,1.60567,1.81337,1.64104,0.67757,0.72857,0.74909,0.37914,1.6662,1.34866,1.87748,0.00100687,0.00100687,0.00100687
10,248.352,1.50056,1.70433,1.59633,0.71301,0.6,0.67546,0.37526,1.55613,1.37715,1.73906,0.000924352,0.000924352,0.000924352
11,269.826,1.38925,1.71635,1.58148,0.70706,0.75714,0.80749,0.46666,1.41582,3.06333,1.63345,0.000841835,0.000841835,0.000841835
12,291.322,1.33899,1.40489,1.57629,0.71083,0.80773,0.79436,0.49798,1.43754,1.57382,1.70542,0.000759318,0.000759318,0.000759318
13,311.84,1.35822,1.46624,1.62474,0.86379,0.65714,0.79989,0.50485,1.28262,1.24757,1.52012,0.000676802,0.000676802,0.000676802
14,333.609,1.27451,1.25995,1.49204,0.72873,0.80596,0.80475,0.50154,1.36607,1.13474,1.58929,0.000594286,0.000594286,0.000594286
15,354.316,1.2495,1.24141,1.49256,0.79518,0.72105,0.83202,0.5501,1.18751,1.01189,1.44444,0.000511769,0.000511769,0.000511769
16,375.519,1.19014,1.26037,1.45289,0.79704,0.71429,0.8294,0.55469,1.19657,1.0527,1.47645,0.000429253,0.000429253,0.000429253
17,398.515,1.19471,1.13162,1.481,0.75376,0.81429,0.83129,0.55374,1.26254,1.01133,1.4999,0.000346736,0.000346736,0.000346736
18,420.732,1.18055,1.06806,1.45148,0.72763,0.88571,0.87456,0.60475,1.09246,0.99069,1.34939,0.00026422,0.00026422,0.00026422
19,442.561,1.10645,1.00392,1.39353,0.79913,0.85253,0.88269,0.60367,1.25104,0.85885,1.53506,0.000181703,0.000181703,0.000181703
20,464.077,1.122,0.9835,1.38672,0.75374,0.88571,0.88624,0.61298,1.19724,0.90284,1.45994,9.91865e-05,9.91865e-05,9.91865e-05
