epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.507,1.62703,5.43771,1.80963,0.0175,0.86585,0.27002,0.08493,1.91993,6.17689,2.77459,0.000541775,0.000541775,0.000541775
2,70.879,1.79556,4.1787,1.85752,0.23539,0.43902,0.21436,0.05841,2.51711,9.11785,3.20846,0.00104312,0.00104312,0.00104312
3,95.0992,1.767,3.25195,1.80296,0.20918,0.30488,0.13601,0.04289,2.30971,23.2117,3.16823,0.00148945,0.00148945,0.00148945
4,120.008,1.81161,2.8005,1.84403,0.23664,0.40244,0.19433,0.06919,2.15226,10.6093,3.21879,0.00141945,0.00141945,0.00141945
5,143.103,1.7641,2.43021,1.76464,0.17067,0.21951,0.10344,0.03675,2.56907,17.6212,3.45781,0.00133693,0.00133693,0.00133693
6,166.967,1.67135,2.12612,1.70647,0.32958,0.43902,0.3066,0.09083,2.28336,15.0142,2.55903,0.00125442,0.00125442,0.00125442
7,189.85,1.64789,1.97237,1.67035,0.46025,0.47561,0.45054,0.19575,1.77418,1.86616,1.98569,0.0011719,0.0011719,0.0011719
8,212.958,1.55041,1.82244,1.59875,0.60374,0.70607,0.64483,0.30925,1.61424,1.61078,1.95554,0.00108938,0.00108938,0.00108938
9,236.346,1.52757,1.76128,1.6157,0.69979,0.56859,0.5699,0.25983,1.73479,1.78165,1.96802,0.00100687,0.00100687,0.00100687
10,260.271,1.48018,1.63979,1.5347,0.5045,0.42683,0.35998,0.15105,1.89631,3.15595,2.05514,0.000924352,0.000924352,0.000924352
11,281.732,1.4431,1.61014,1.65769,0.61296,0.62195,0.5435,0.21284,2.01319,1.88119,2.1278,0.000841835,0.000841835,0.000841835
12,302.866,1.44282,1.44471,1.59733,0.67558,0.71111,0.69819,0.34009,1.57168,1.26015,1.70616,0.000759318,0.000759318,0.000759318
13,324.434,1.35119,1.33766,1.55209,0.6689,0.70732,0.72069,0.39539,1.58267,1.29056,1.81299,0.000676802,0.000676802,0.000676802
14,345.607,1.28559,1.24108,1.49511,0.74507,0.78049,0.77776,0.41791,1.44006,1.26287,1.60928,0.000594286,0.000594286,0.000594286
15,367.86,1.26254,1.15029,1.49777,0.72852,0.7439,0.75129,0.45105,1.44372,1.30259,1.61156,0.000511769,0.000511769,0.000511769
16,389.315,1.19675,1.1433,1.4391,0.70813,0.69512,0.78494,0.46988,1.33946,1.12913,1.54221,0.000429253,0.000429253,0.000429253
17,411.946,1.18802,1.07562,1.44641,0.69663,0.76829,0.76694,0.47407,1.32813,1.08572,1.55032,0.000346736,0.000346736,0.000346736
18,433.944,1.11475,0.99927,1.40489,0.66362,0.86611,0.80693,0.4937,1.28271,1.09514,1.50659,0.00026422,0.00026422,0.00026422
19,455.958,1.09146,0.95431,1.37268,0.71529,0.82724,0.80931,0.50413,1.25138,1.08356,1.48863,0.000181703,0.000181703,0.000181703
20,477.277,1.09242,0.94709,1.34429,0.78614,0.7561,0.81645,0.52427,1.2043,0.9871,1.4388,9.91865e-05,9.91865e-05,9.91865e-05
