epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6846,2.04969,4.67094,2.39903,0,0,0,0,nan,nan,nan,0.000548721,0.000548721,0.000548721
2,105.589,2.53124,3.42882,2.8645,0,0,0,0,nan,nan,nan,0.00104972,0.00104972,0.00104972
3,140.65,2.51987,3.26583,2.81842,0,0,0,0,nan,nan,nan,0.00149571,0.00149571,0.00149571
4,174.899,2.39648,3.22224,2.78348,0,0,0,0,nan,nan,nan,0.00141945,0.00141945,0.00141945
5,226.731,2.32881,3.09864,2.72484,0.00104,0.1125,0.00047,0.00014,nan,nan,nan,0.00133693,0.00133693,0.00133693
6,278.756,2.24171,3.08723,2.68505,0.00011,0.075,0.00011,2e-05,2.75365,6.98253,3.14969,0.00125442,0.00125442,0.00125442
7,311.482,2.21649,2.75533,2.64057,0.27188,0.325,0.18882,0.0748,1.69211,4.15206,2.5096,0.0011719,0.0011719,0.0011719
8,344.325,2.10365,2.75354,2.52454,0.12133,0.2625,0.08436,0.022,1.96262,185.978,2.82649,0.00108938,0.00108938,0.00108938
9,378.674,2.05149,2.75896,2.51885,0.24009,0.325,0.16914,0.05772,1.92172,3.1713,2.71135,0.00100687,0.00100687,0.00100687
10,411.89,1.98304,2.6311,2.45843,0.34833,0.45,0.26042,0.09556,1.63448,2.74245,2.51577,0.000924352,0.000924352,0.000924352
11,445.319,1.87069,2.5788,2.61939,0.33832,0.4125,0.33956,0.13012,1.6611,2.51519,2.46385,0.000841835,0.000841835,0.000841835
12,478.058,1.92777,2.51035,2.60205,0.44497,0.425,0.37251,0.13824,1.67014,1.86325,2.45826,0.000759318,0.000759318,0.000759318
13,514.961,1.82519,2.62759,2.46993,0.30779,0.33351,0.27436,0.11748,1.7836,2.27082,2.57023,0.000676802,0.000676802,0.000676802
14,547.548,1.77566,2.26749,2.49877,0.4645,0.347,0.36213,0.1446,1.61046,2.00499,2.4338,0.000594286,0.000594286,0.000594286
15,583.971,1.80651,2.36768,2.50216,0.48066,0.40496,0.41058,0.17544,1.60481,1.88486,2.32871,0.000511769,0.000511769,0.000511769
16,616.622,1.8704,2.31787,2.56293,0.46451,0.55302,0.39756,0.15041,1.53592,1.99109,2.34557,0.000429253,0.000429253,0.000429253
17,649.418,1.75792,2.13894,2.47706,0.49211,0.5375,0.46631,0.1965,1.48774,1.80001,2.29476,0.000346736,0.000346736,0.000346736
18,682.767,1.73319,2.07681,2.48827,0.5927,0.49116,0.50429,0.22618,1.43141,1.67291,2.22301,0.00026422,0.00026422,0.00026422
19,726.155,1.72931,2.01177,2.42857,0.60057,0.45109,0.55076,0.24907,1.39292,1.73327,2.19414,0.000181703,0.000181703,0.000181703
20,759.985,1.68983,2.00137,2.39429,0.51595,0.4875,0.53216,0.23783,1.36931,1.60929,2.17266,9.91865e-05,9.91865e-05,9.91865e-05
