epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8452,2.35615,5.23472,2.58516,0.00113,0.3875,0.00188,0.00052,nan,nan,nan,0.000548721,0.000548721,0.000548721
2,85.7077,2.62777,3.80947,2.87421,0,0,0,0,nan,nan,nan,0.00109892,0.00109892,0.00109892
3,115.036,2.44035,3.59192,2.86245,0,0,0,0,nan,nan,nan,0.00164362,0.00164362,0.00164362
4,144.273,2.48516,3.53543,2.89712,0.09636,0.1125,0.03737,0.00887,2.32033,18.5368,2.99829,0.00164225,0.00164225,0.00164225
5,173.652,2.47468,3.51622,2.86129,0.0684,0.375,0.07552,0.01423,2.89406,621.733,3.77076,0.00163399,0.00163399,0.00163399
6,203.149,2.42296,3.44622,2.74454,0.0792,0.2625,0.04425,0.01228,2.68318,nan,3.38645,0.00162574,0.00162574,0.00162574
7,232.339,2.42417,3.21029,2.75871,0.16437,0.175,0.10859,0.02645,2.07546,2.65031,2.50104,0.00161749,0.00161749,0.00161749
8,262.007,2.28977,3.26255,2.63189,0.14344,0.3375,0.09924,0.02438,2.16543,44.6049,2.74298,0.00160924,0.00160924,0.00160924
9,291.225,2.28752,3.19268,2.65598,0.15325,0.125,0.09253,0.02727,2.01648,3.60476,2.4128,0.00160099,0.00160099,0.00160099
10,320.522,2.33579,3.08082,2.70064,0.14557,0.2875,0.09812,0.02688,2.0385,3.0627,2.50087,0.00159274,0.00159274,0.00159274
11,349.761,2.27138,3.03441,2.63072,0.23059,0.35,0.17617,0.04695,1.85286,6.96666,2.41745,0.00158448,0.00158448,0.00158448
12,379.35,2.25858,3.16203,2.58112,0.16785,0.1375,0.08926,0.02289,1.92069,7.84533,2.44188,0.00157623,0.00157623,0.00157623
13,408.605,2.1679,3.20158,2.60591,0.26534,0.2625,0.19215,0.06027,1.81675,2.98575,2.40249,0.00156798,0.00156798,0.00156798
14,438.034,2.18093,2.97905,2.51165,0.23969,0.3,0.22723,0.07771,1.71327,3.12367,2.21208,0.00155973,0.00155973,0.00155973
15,467.305,2.19991,2.95209,2.52484,0.2422,0.3875,0.20673,0.06068,1.70813,3.27989,2.44056,0.00155148,0.00155148,0.00155148
16,496.452,2.1952,3.042,2.57609,0.24618,0.325,0.19827,0.06952,1.8285,2.22989,2.38276,0.00154323,0.00154323,0.00154323
17,525.574,2.13867,2.95552,2.4906,0.18119,0.275,0.15065,0.04547,1.76871,12.9429,2.55293,0.00153497,0.00153497,0.00153497
18,554.977,2.14817,2.91797,2.53588,0.19577,0.3,0.13745,0.03826,1.7258,4.78052,2.48804,0.00152672,0.00152672,0.00152672
19,584.294,2.07558,2.89162,2.45201,0.23511,0.2875,0.18019,0.05773,1.86398,3.90205,2.29733,0.00151847,0.00151847,0.00151847
20,613.694,2.07924,2.86299,2.44558,0.21405,0.325,0.16797,0.0605,1.58739,6.12534,2.287,0.00151022,0.00151022,0.00151022
21,643.073,2.06514,2.87325,2.45036,0.20575,0.36592,0.16714,0.05848,1.56979,4.92839,2.21909,0.00150197,0.00150197,0.00150197
22,672.146,2.07026,2.82188,2.44651,0.31063,0.38865,0.22704,0.08726,1.63346,2.24912,2.1782,0.00149372,0.00149372,0.00149372
23,701.52,2.09442,2.86484,2.47744,0.12915,0.375,0.09947,0.02605,1.64791,10.2301,2.32284,0.00148546,0.00148546,0.00148546
24,730.731,2.01054,2.76138,2.37815,0.36183,0.475,0.29168,0.10052,1.55666,2.17339,2.2286,0.00147721,0.00147721,0.00147721
25,760.274,2.03661,2.80643,2.40115,0.37157,0.375,0.37432,0.13611,1.60641,2.02051,2.18897,0.00146896,0.00146896,0.00146896
26,789.548,2.03507,2.67936,2.45584,0.21695,0.2375,0.14061,0.03862,1.67706,7.80847,2.39201,0.00146071,0.00146071,0.00146071
27,818.927,2.01548,2.76342,2.43559,0.31281,0.3875,0.22055,0.07189,1.62863,2.42764,2.2969,0.00145246,0.00145246,0.00145246
28,848.311,1.99578,2.74848,2.42197,0.38039,0.325,0.30245,0.1007,1.70682,2.275,2.33387,0.00144421,0.00144421,0.00144421
29,877.768,1.9924,2.64165,2.41065,0.16809,0.25,0.12296,0.03932,1.65412,2.81831,2.30752,0.00143595,0.00143595,0.00143595
30,907.114,1.96036,2.6974,2.38712,0.21494,0.375,0.23223,0.07601,1.65028,4.24318,2.37928,0.0014277,0.0014277,0.0014277
31,936.431,1.96818,2.60638,2.40418,0.22445,0.2875,0.20149,0.0721,1.78951,6.107,2.41897,0.00141945,0.00141945,0.00141945
32,965.689,1.96378,2.62677,2.44449,0.23548,0.45434,0.18094,0.05966,1.5178,3.14434,2.3914,0.0014112,0.0014112,0.0014112
33,995.179,1.94765,2.67224,2.41389,0.33008,0.4625,0.36224,0.13074,1.52577,2.03506,2.23343,0.00140295,0.00140295,0.00140295
34,1024.6,1.98115,2.57273,2.37404,0.27994,0.48112,0.2561,0.09252,1.65081,2.03845,2.23535,0.0013947,0.0013947,0.0013947
35,1053.96,1.97065,2.51613,2.40785,0.25401,0.3875,0.19538,0.05952,1.62076,3.53585,2.31287,0.00138644,0.00138644,0.00138644
36,1083.53,1.9298,2.53324,2.35889,0.27298,0.425,0.27821,0.09401,1.50937,2.5608,2.24983,0.00137819,0.00137819,0.00137819
37,1112.88,1.90572,2.52284,2.34936,0.3567,0.4125,0.34235,0.10794,1.59523,2.62983,2.29151,0.00136994,0.00136994,0.00136994
38,1142.25,1.90997,2.57314,2.38072,0.46876,0.3875,0.40634,0.15504,1.44893,2.57434,2.20988,0.00136169,0.00136169,0.00136169
39,1171.63,1.94196,2.53663,2.41607,0.36341,0.4625,0.33137,0.12557,1.64301,2.31811,2.42106,0.00135344,0.00135344,0.00135344
