epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8885,1.6604,4.79964,1.86002,0.00406,1,0.41571,0.21582,1.3727,4.56135,1.52961,0.00325,0.00325,0.00325
2,34.3821,1.57146,3.57978,1.6154,0.53308,0.18106,0.29839,0.14671,1.67225,3.79871,1.85057,0.00658333,0.00658333,0.00658333
3,49.265,1.65653,3.09356,1.68213,0.17452,0.26558,0.17353,0.05608,2.14557,15.3708,2.82019,0.00991666,0.00991666,0.00991666
4,64.2013,1.82582,2.97092,1.78996,0.24242,0.29268,0.15239,0.06292,2.02971,123.041,3.34333,0.00999999,0.00999999,0.00999999
5,78.9709,2.00784,2.72968,1.93137,0.29994,0.41463,0.24269,0.07472,2.48103,6.96131,3.06028,0.00999998,0.00999998,0.00999998
6,93.7358,1.93018,2.48505,1.85952,0.08333,0.09756,0.09401,0.02792,2.40056,119.516,2.93277,0.00999998,0.00999998,0.00999998
7,108.479,1.92923,2.34097,1.89556,0.03895,0.15854,0.02707,0.00583,3.01451,46.0795,3.44956,0.00999996,0.00999996,0.00999996
8,123.258,1.87582,2.23647,1.79677,0.05496,0.09756,0.01479,0.00658,2.81628,4.46233,2.87112,0.00999995,0.00999995,0.00999995
9,137.791,1.88386,2.19214,1.83096,0.05334,0.35366,0.04026,0.01296,2.17636,32.0195,2.38754,0.00999994,0.00999994,0.00999994
10,152.235,1.81014,2.03693,1.78525,0.05283,0.09756,0.03092,0.00963,2.53534,12.284,2.84231,0.00999992,0.00999992,0.00999992
11,166.654,1.84453,2.05323,1.79567,0.01249,0.21951,0.00656,0.00137,3.35973,37.0076,3.83318,0.0099999,0.0099999,0.0099999
12,181.071,1.77526,1.98188,1.73353,0.45064,0.28049,0.26578,0.09321,2.41004,3.94919,2.60465,0.00999988,0.00999988,0.00999988
13,195.439,1.81527,1.93644,1.78104,0.46325,0.43902,0.38345,0.15017,1.96288,2.903,2.02661,0.00999986,0.00999986,0.00999986
14,209.816,1.75898,1.88573,1.7081,0.67651,0.43902,0.51506,0.21702,2.05162,1.72534,2.06329,0.00999983,0.00999983,0.00999983
15,224.358,1.73453,1.87898,1.71439,0.01519,0.15854,0.00469,0.00086,3.12807,28.8084,3.7071,0.00999981,0.00999981,0.00999981
16,238.889,1.75278,1.83624,1.68768,0.34642,0.56098,0.30478,0.10394,2.45658,3.5655,2.3658,0.00999978,0.00999978,0.00999978
17,253.483,1.68623,1.78524,1.66557,0.51742,0.64073,0.56467,0.2655,1.81192,2.33115,1.80712,0.00999975,0.00999975,0.00999975
18,268.196,1.65793,1.67906,1.63006,0.5324,0.62195,0.58822,0.29039,1.80685,2.61911,1.87281,0.00999972,0.00999972,0.00999972
